vest_ID,election_ID
"2-2 Woodland Park School, County9610",2-2 Woodland Park
Monteagle5757,Monteagle
Memphis 62-08172,Memphis 62
4-1 Grove4110,4-1 Grove
314870,31 Chilhowee
7 Bulls Gap Outside3822,7 Bulls Gap Outside
24-31914,24-3
39 New Salem9302,39 New Salem
4-5 Bud's Tire7700,4-Apr
8-4 East Union Ruritan Center5664,8-4 East Union
Norris0018,Norris
30 Milan Assembly/God2769,14 Milan 1stAssembly
8-1 Beech Bluff Baptist Church5666,8-1 Beech Bluff
Pikeville0311,4-1 Pikeville
484801,48 Pond Gap
Emory Heights7460,Emory Heights
Armory1411,Armory
6 Daus7854,6 Daus
30-41939,30-4
3 Garnett2464,Garnett
Hickory Valley3602,Hickory Valley
21A6474,21A Cumberland
7-2 Reagan4010,7-11 Reagan
08D Boma7272,8D Boma
Memphis 20-18109,Memphis 20-1
1 Olivet3707,Olivet 1-2
121607,12
7-15257,1-Jul
21-41902,21-4
06 Carthage8305,06 Carthage
Bolivar3601,Bolivar
27 Skullbone2766,11-5 Skullbone
81611,8
24-51916,24-5
Long Creek1401,Long Creek
2 Hermitage Springs1307,2 Hermitage Springs
6-2 OBION6758,6-2 Obion Sr Ctr
5 Rogersville North Inside3814,5 Rogersville No In
Catlettsburg 17973,7-1 Catlettsburg
13-2 Grace Baptist Center1513,13-2 Grace Baptist
3-1 South East Lawrence5153,03-1 SE Lawrence
26-41925,26-4
3-15253,1-Mar
7 City Justice Center7857,7 Justice Center
2-15251,1-Feb
High School7051,High School 2-1
5 Cedar Grove0804,Cedar Grove
3 Courthouse6252,3-2 Courthouse
12 Bruceton0803,Bruceton
10 Haywood Junior High3905,1-Oct
Temple Hill8903,Temple Hill
9-11841,1-Sep
Memphis 44-58136,Memphis 44-5
8th Parsons2058,8-1 Parsons
26 Union Central2765,11-4 Union Central
1-3 Buchanan4107,1-3 Buchanan
Siam0909,Siam
774821,77 Ramsey
16 Atwood0817,Atwood
4th Decaturville2052,4-1 Decaturville
Lucy 38099,Lucy 03
Central1416,Central
Bellview0301,5-1 Bellview
784819,78 Riverdale
Rockwood Ward 17471,Rockwood Ward 1
4B Butler4702,4B Butler
Emory7461,Emory
10 Tennessee College of Applied Technology6056,TCAT
8-1 Rogers Mill1217,8-1 Rogers Mill
4-15252,1-Apr
6 Alumwell3812,6 Alum Well
4A Dry Run4709,4A Dry Run
1-4 Burwood Community Center9704,4-Jan
4-21818,2-Apr
15-41871,15-4
Clinton Middle School0007,Clinton Middle
Midtown7463,Midtown
Limestone Cove8907,Limestone Cove
Lafayette Elementary School5560,Lafayette
Hardison School5857,7 Hardison
McConnells8100,McConnell's
18-31887,18-3
Dunbar2054,1-1 Dunbar
Concord 23304,093 Concord 2
5 Motlow College6555,5 Motlow College
Middle Valley 23417,186 Middle Valley 2
03-2 Smartt First Baptist Church9205,3-2 Smartt
6-1 Alto/Oak Grove2662,6-1 Alto/Oak Grove
1-2 Beaver4002,1-2 Beaver
6B6473,6B Bethel
Rigsby0312,3-2 Rigsby
I - Community Center2364,I1- Community Center
05 Tibbs Fire Station3906,1-May
344882,34 Fountain City Library
Riverview3348,042 Riverview
Del Rio1404,Del Rio
2 Trezevant0801,Trezevant
5-15255,1-May
Pine Haven2555,Pine Haven
1 Bethel Springs6158,Bethel Springs 1-1
04B Monterey High School7273,4B Monterey City
28 South Side9319,28 South Side
07-3 Brushy4210,7-3 Brushy
3A Cooper Basin High School7155,3A Copper Basin
Concord 13315,012 Concord 1
Falling Water3423,187 Falling Water
4-3 Liberty2658,4-3 Liberty
4 Elementary School6552,4 Lynchburg
