,COUNTY,NAME
698,39,09B West Side Church of Christ
699,39,06 Wyatt-Duke National Guard Armory
700,39,05 Tibbs Fire Station
710,39,01 Christ Temple Apostolic Church
711,39,08 Douglas Community Center
694,39,07 Delta Heritage Center
720,40,7-11 Reagan
721,40,4-6 Natchez Trace
722,40,2-14 South Haven
719,40,7-13 Scotts Hill
717,40,3-10 Fire Station #10
716,40,2-15 Westover
718,40,3-3 Fire Station #4
714,40,6-8 Broad Street
1567,40,3-7 Darden
713,40,1-2 Beaver
735,40,7-9 Middleburg
736,40,7-12 Sardis
712,40,1-1 Bargerton
715,40,5-5 TN Tech Center
739,41,2-2 Mansfield
740,41,3-3 Jones Chapel
741,41,4-2 City Hall
742,41,5-1 HC High School
743,41,1-2 Cottage Grove
744,41,1-3 Buchanan
745,41,2-1 Henry
502,41,3-2 Springville
737,41,2-3 Oakland
761,41,4-1 Grove
760,41,5-2 Vo-Tech
738,41,1-1 Puryear
746,41,3-1 Russwood
748,42,05-3 Shady Grove
752,42,05-2 Middle School
751,42,07-3 Brushy
750,42,01-1 Nunnelly
747,42,02-2 Fairfield
749,42,04-1 Lake Benson Camp
510,42,05-1 Mt. Pleasant
503,42,02-3 East Bank
504,42,07-4 Coble
505,42,06-1 Justice Center
506,42,07-1 Nunnelly
507,42,01-2 Pinewood
508,42,03-1 East Community Center
509,42,07-2 Pleasantville
516,43,Stewart Community Center
515,43,Griffin Chapel Church
514,43,Houston Co. Middle School
526,43,Tennessee Ridge
512,43,Erin City Hall
511,43,Erin Elementary School
513,43,Arlington Sr. Citizens Cntr
517,44,5-6 Wildwood
518,44,1-1 Jera
531,44,7-8 North McEwen
527,44,3-4 MLEC
528,44,2-3 WFS
529,44,4-5 NJMC
530,44,6-7 South McEwen
532,44,1-2 Compassion Church
544,45,2-1
533,45,5-2
534,45,1-2
535,45,6-2
543,45,3-1
537,45,6-1
538,45,2-2
539,45,3-2
536,45,4-2
541,45,5-1
542,45,1-1
540,45,4-1
547,46,2nd Piedmont Elementary School
545,46,7th New Market City Hall
546,46,3rd White Pine School
558,46,8-1 Old Chestnut Hill School
557,46,1st Dandridge Elementary School
553,46,9th Talbott Elementary School
556,46,6th Rush Strong School
555,46,5th Jefferson Middle School
552,46,10th Jefferson City Fire Dept
554,46,8-2 Old Swannsylvania School
548,46,4th Jefferson Elementary School
1899,47,4A Dry Run
1900,47,1A Laurel
1905,47,3B Neva
1906,47,1B Cold Springs
1895,47,4B Butler
1898,47,7 City
1896,47,2 Forge/Shouns
1893,47,6 Shady
1894,47,3A Trade
1907,47,5 Doe Valley
599,48,29
616,48,50-N
608,48,43
607,48,42
521,48,70-E
522,48,23
1243,48,14
1244,48,11
1245,48,17
559,48,50-S
602,48,20
601,48,06
600,48,71
560,48,09
561,48,10-N
723,48,44
598,48,25
597,48,89
596,48,27
595,48,90
594,48,93
593,48,92
724,48,84
725,48,26
726,48,57
592,48,19-E
617,48,24-Q
588,48,13
628,48,49
520,48,69-E
489,48,33
490,48,74
685,48,65-N
667,48,63-N
666,48,63
665,48,45
664,48,67
663,48,70-W
662,48,64
661,48,46
660,48,47
491,48,61
702,48,68-E
703,48,55
492,48,59
493,48,72
494,48,56
729,48,18
495,48,58-S
496,48,73
1721,48,65-E
497,48,19-W
1720,48,65-W
1242,48,32
519,48,58-N
629,48,51
587,48,31
606,48,10-S
579,48,85
585,48,79
762,48,34
584,48,78
583,48,76
1716,48,66-S
1717,48,69-N
1718,48,69-S
763,48,16
1784,48,62
567,48,48
569,48,15
570,48,30
575,48,39
576,48,41
577,48,40
578,48,80
727,48,60
580,48,86
568,48,12
581,48,82
1719,48,69-W
582,48,87
755,48,35
754,48,36
753,48,37
728,48,81
586,48,77
1714,48,68
566,48,10-W
1715,48,66-N
939,49,1 Tiptonville Senior Center
940,49,2 Lake County Courthouse
938,49,3 Lake County Middle School
994,50,Ripley 4
941,50,McBride
944,50,Henning
1562,50,Edith
1561,50,Ripley 2
1560,50,Central
943,50,Halls 8
942,50,Lightfoot
983,50,Gates
995,50,Ripley 3
945,51,2-1 Loretto Civic Center
949,51,5-1 Leoma School Gym
948,51,1-2 West Loretto
947,51,3-1 South East Lawrence
1024,51,15-1 David Crockett
997,51,8-1 New Prospect
996,51,6-2 West Point
1021,51,12-2 Henryville
1022,51,13-1 West End
1023,51,14-1 Crawfish Valley
1025,51,3-2 Centerpoint
1026,51,16-1 Rotary Park
1027,51,17-1 Sowell
1028,51,18-1 E.O. Coffman
1029,51,6-1 Iron City
946,51,4-1 Crossroads Fire Hall
1039,51,9-1 Ethridge
1040,51,12-1 Center
1038,51,5-2 Gandy
1009,51,1-1 St. Joseph
1010,51,7-1 Lawrenceburg Public
1011,51,11-1 Summertown
998,51,9-2 Mars Hill
999,51,10-1 Howards
1044,52,1-1
1043,52,3-1
1042,52,4-1
1041,52,2-1
1066,52,8-1
1067,52,9-1
1045,52,5-1
1046,52,6-1
1047,52,7-1
